 Time	               Bundle ID	              Status	Comment
0.992	                       -	                   -	server_show_windows_for_asns end
1.146	                       -	                   -	Refusing connection from pid 346 (app was (null))
1.147	      com.apple.appstore	           Connected	
1.147	                       -	                   -	Acquired designated connection from pid 335 (app is <TCApplication: 0x7fc8f2d2dfb0 (com.apple.appstore)>)
1.149	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (yes) and/or unhidden (yes)
1.149	                       -	                   -	Still waiting for registration from com.apple.appstore, com.google.Chrome, com.apple.Terminal, com.github.GitHub, com.sublimetext.3, com.apple.Notes, Finder
1.150	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (yes) and/or unhidden (yes)
1.150	                       -	                   -	Still waiting for registration from com.apple.appstore, com.google.Chrome, com.apple.Terminal, com.github.GitHub, com.sublimetext.3, com.apple.Notes, Finder
1.253	        com.apple.finder	                   -	Finder checked in
1.254	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (yes) and/or unhidden (yes)
1.254	                       -	                   -	Still waiting for registration from com.apple.appstore, com.google.Chrome, com.apple.Terminal, com.github.GitHub, com.sublimetext.3, com.apple.Notes
1.641	                       -	                   -	TAL launch still in progress because com.apple.appstore is unstopped (yes) and/or unhidden (yes)
1.642	                       -	                   -	Still waiting for registration from com.apple.appstore, com.google.Chrome, com.apple.Terminal, com.github.GitHub, com.sublimetext.3, com.apple.Notes
2.220	      com.apple.appstore	   Requested windows	1 window.
2.221	      com.apple.appstore	 Transferred windows	
2.223	      com.apple.appstore	                   -	Registered as TAL ready
2.223	                       -	                   -	TAL launch still in progress because com.google.Chrome is unstopped (yes) and/or unhidden (yes)
2.224	                       -	                   -	Still waiting for registration from com.google.Chrome, com.apple.Terminal, com.github.GitHub, com.sublimetext.3, com.apple.Notes
2.226	      com.apple.appstore	                   -	Reported finished launching.
2.500	      com.apple.appstore	       Ready to Draw	
2.883	         com.apple.Notes	           Connected	
2.883	                       -	                   -	Acquired designated connection from pid 342 (app is <TCApplication: 0x7fc8f2c35020 (com.apple.Notes)>)
2.907	                       -	                   -	Refusing connection from pid 341 (app was (null))
2.951	                       -	                   -	Refusing connection from pid 341 (app was (null))
2.952	       com.sublimetext.3	                   -	Registered as TAL ready
2.953	                       -	                   -	TAL launch still in progress because com.google.Chrome is unstopped (yes) and/or unhidden (yes)
2.953	                       -	                   -	Still waiting for registration from com.google.Chrome, com.apple.Terminal, com.github.GitHub, com.apple.Notes
3.043	                       -	                   -	Refusing connection from pid 340 (app was (null))
3.076	      com.apple.Terminal	           Connected	
3.076	                       -	                   -	Acquired designated connection from pid 339 (app is <TCApplication: 0x7fc8f2c2fc30 (com.apple.Terminal)>)
3.222	       com.github.GitHub	                   -	Registered as TAL ready
3.222	                       -	                   -	TAL launch still in progress because com.google.Chrome is unstopped (yes) and/or unhidden (yes)
3.222	                       -	                   -	Still waiting for registration from com.google.Chrome, com.apple.Terminal, com.apple.Notes
3.277	                       -	                   -	TAL launch still in progress because com.google.Chrome is unstopped (yes) and/or unhidden (yes)
3.277	                       -	                   -	Still waiting for registration from com.google.Chrome, com.apple.Terminal, com.apple.Notes
3.508	      com.apple.appstore	            Disposed	
3.547	      com.apple.Terminal	   Requested windows	1 window.
3.548	      com.apple.Terminal	 Transferred windows	
3.670	         com.apple.Notes	   Requested windows	1 window.
3.670	         com.apple.Notes	 Transferred windows	
3.676	         com.apple.Notes	                   -	Registered as TAL ready
3.676	                       -	                   -	TAL launch still in progress because com.google.Chrome is unstopped (yes) and/or unhidden (yes)
3.676	                       -	                   -	Still waiting for registration from com.google.Chrome, com.apple.Terminal
3.693	         com.apple.Notes	                   -	Reported finished launching.
3.886	      com.apple.Terminal	                   -	Registered as TAL ready
3.886	                       -	                   -	TAL launch still in progress because com.google.Chrome is unstopped (yes) and/or unhidden (yes)
3.886	                       -	                   -	Still waiting for registration from com.google.Chrome
3.926	                       -	                   -	Refusing connection from pid 337 (app was (null))
4.029	      com.apple.Terminal	                   -	Reported finished launching.
4.109	       com.google.Chrome	                   -	Registered as TAL ready
4.109	                       -	                   -	All started apps have registered (no remaining unregistered apps)
4.110	                       -	                   -	TAL Relaunch - all apps registered as ready
12.450	         com.apple.Notes	       Ready to Draw	
12.686	      com.apple.Terminal	       Ready to Draw	
12.939	      com.apple.Terminal	            Disposed	
13.455	         com.apple.Notes	            Disposed	
15.455	                       -	                   -	Liveness: 2 -> 1 (__run_as_server_block_invoke)
15.455	                       -	                   -	Liveness: 1 -> 0 (__remove_app_block_invoke)
15.455	                       -	                   -	Exiting out of boredom
